timestamp,artist,followers,popularity
2025-12-07 06:27:26.765254+00:00,KNEECAP,468752,64
2025-12-07 06:27:26.810879+00:00,CMAT,203605,61
2025-12-07 06:27:26.875445+00:00,NewDad,175479,54
2025-12-07 06:27:26.976164+00:00,SELLO,7445,21
2025-12-07 06:27:27.032604+00:00,Aby Coulibaly,15985,30
2025-12-07 06:27:27.082740+00:00,Inhaler,513631,60
2025-12-07 06:27:27.125103+00:00,MOIO,68197,45
2025-12-07 06:27:27.307555+00:00,Monjola,12805,26
2025-12-07 06:27:27.391181+00:00,Fizzy Orange,5826,28
2025-12-07 06:27:27.444322+00:00,Annie-Dog,1885,14
2025-12-07 06:27:27.526213+00:00,Kojaque,53822,35
